,Age,Gender,Average GPA,Attendance (%),Internship Done,Placement Status,In_Robotics,In_Coding Club,Knows_Machine Learning,Knows_Java,Knows_C++,Knows_SQL,Knows_Data Science,Knows_Python,Knows_Web Development,Extracirricular Activities,Domain_Consulting,Domain_Core Engineering,Domain_Hardware,Domain_Higher Studies,Domain_None,Domain_Research,Domain_Software,Backlogs_Binned
0,21,1,2.0781907597781832,70,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
1,19,1,2.0095554142156695,65,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
2,19,0,2.089391872533004,84,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
3,23,1,2.0693912058263346,62,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
4,20,1,2.0906287310704004,97,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
5,19,1,2.1234584270966104,62,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
6,18,0,2.086913556518537,82,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
7,23,1,2.0373166153791646,97,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0
8,18,1,2.1210632163706555,74,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1
9,18,1,2.102913897864978,76,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
10,23,0,2.1004689088719113,73,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
11,23,0,2.1198634561787513,91,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1
12,23,0,2.1400661634962708,99,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
13,21,0,2.0438143640366846,84,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
14,20,0,1.9768549529047348,92,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
15,23,1,2.017566137961748,62,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
16,19,1,2.086913556518537,65,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1
17,21,0,2.1077860146889784,75,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
18,22,0,2.0135687975291283,71,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
19,22,0,2.0425181875752383,86,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,2
20,23,0,2.0255131996542803,70,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1
21,19,0,2.1090003439213802,65,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
22,21,1,2.1447610078004784,74,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
23,21,0,2.138889000323256,94,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
24,23,1,2.063058062429312,70,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
25,23,0,2.1090003439213802,72,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
26,23,1,2.1041341542702074,84,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
27,20,0,2.081938421878423,89,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
28,22,1,2.061786606441115,98,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
29,19,0,2.063058062429312,88,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
30,21,0,2.089391872533004,82,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1
31,19,1,2.0719132752590443,69,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2
32,19,0,2.0992441689760155,86,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
33,23,0,2.0412203288596382,80,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1
34,18,0,2.0918640616783932,63,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
35,19,0,2.0373166153791646,96,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1
36,19,1,2.1162555148025524,87,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
37,19,0,2.1174596088673567,60,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
38,19,0,2.080690761080268,96,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
39,23,0,2.0541237336955462,71,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
40,21,0,2.075684492802124,75,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1
41,22,0,2.154085084675602,71,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
42,21,0,2.1065702090680887,65,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
43,19,1,2.1258479144939915,72,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
44,19,1,2.0320878452963655,99,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0
45,20,0,2.102913897864978,97,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
46,18,0,2.151762203259462,82,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
47,19,0,2.0906287310704004,96,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
48,19,1,2.061786606441115,78,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
49,23,1,2.0135687975291283,78,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
50,23,0,2.064327903869788,60,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
51,21,1,2.0228711901914416,66,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0
52,20,1,2.0149030205422647,74,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
53,19,0,2.038619547159581,91,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1
54,23,1,2.0992441689760155,61,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1
55,19,1,2.1126345090356,75,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
56,18,0,2.0693912058263346,75,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
57,21,0,2.066862759472976,76,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2
58,21,0,2.0592388343623163,64,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
59,22,0,2.0719132752590443,85,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
60,19,1,2.065596134857783,60,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
